Data,T_d0,P_d0,Z_d0,W/W
31.05.2017 00,18.0,2.1,2,0
31.05.2017 01,17.8,4.1,3,0
31.05.2017 02,18.0,4.6,2,0
31.05.2017 03,17.0,2.6,3,0
31.05.2017 04,17.0,3.1,4,0
31.05.2017 05,17.6,3.1,5,0
31.05.2017 06,18.8,4.1,5,0
31.05.2017 07,20.0,4.6,6,0
31.05.2017 08,21.0,5.1,6,0
31.05.2017 09,21.6,5.7,6,0
31.05.2017 10,22.1,6.2,6,0
31.05.2017 11,22.3,6.7,6,0
31.05.2017 12,22.1,6.2,6,0
31.05.2017 13,21.8,6.2,6,0
31.05.2017 14,21.8,6.2,6,0
31.05.2017 15,22.0,6.2,5,0
31.05.2017 16,21.9,5.7,4,0
31.05.2017 17,21.4,5.1,4,0
31.05.2017 18,20.6,4.1,3,0
31.05.2017 19,19.5,2.6,2,0
31.05.2017 20,18.0,2.1,2,0
31.05.2017 21,16.7,2.1,1,0
31.05.2017 22,15.9,2.1,1,0
31.05.2017 23,15.2,2.1,1,0
